CUSTOM_ID,SR_ID
ID-000215,AA00000029693
ID-000215,AA00000029692
ID-000215,AA00000029691
ID-000215,AA00000029690
ID-000215,AA00000029689
ID-000215,AA00000029688
ID-000215,AA00000029687
ID-000215,AA00000029686
ID-000215,AA00000029685
ID-000215,AA00000029684
ID-000215,AA00000029683
ID-000215,AA00000029682
ID-000215,AA00000029681
ID-000215,AA00000029680
ID-000215,AA00000029679
ID-003968,AA00000029678
ID-003968,AA00000029677
ID-003968,AA00000029676
ID-003968,AA00000029675
ID-003968,AA00000029674
ID-003968,AA00000029673
ID-003968,AA00000029672
ID-003968,AA00000029671
ID-003968,AA00000029670
ID-004511,AA00000029669
ID-004511,AA00000029668
ID-002217,AA00000029667
ID-002217,AA00000029666
ID-002217,AA00000029665
ID-002063,AA00000029664
ID-002063,AA00000029663
ID-002063,AA00000029662
ID-002063,AA00000029661
ID-000731,AA00000029660
ID-000731,AA00000029659
ID-000731,AA00000029658
ID-000731,AA00000029657
ID-001329,AA00000029656
ID-001329,AA00000029655
ID-001329,AA00000029654
ID-001329,AA00000029653
ID-001329,AA00000029652
ID-001329,AA00000029651
ID-001329,AA00000029650
ID-003810,AA00000029649
ID-003810,AA00000029648
ID-003415,AA00000029647
ID-003415,AA00000029646
ID-003945,AA00000029645
ID-003945,AA00000029644
ID-002552,AA00000029643
ID-002552,AA00000029642
ID-003127,AA00000029641
ID-003127,AA00000029640
ID-003127,AA00000029639
ID-002109,AA00000029638
ID-002109,AA00000029637
ID-002109,AA00000029636
ID-003207,AA00000029635
ID-003207,AA00000029634
ID-002575,AA00000029633
ID-002575,AA00000029632
ID-002575,AA00000029631
ID-003564,AA00000029630
ID-003564,AA00000029629
ID-003564,AA00000029628
ID-003564,AA00000029627
ID-003564,AA00000029626
ID-003564,AA00000029625
ID-003564,AA00000029624
ID-003564,AA00000029623
ID-003564,AA00000029622
ID-003564,AA00000029621
ID-003564,AA00000029620
ID-003564,AA00000029619
ID-003564,AA00000029618
ID-003564,AA00000029617
ID-003565,AA00000029616
ID-003565,AA00000029615
ID-004870,AA00000029614
ID-001000,AA00000029613
ID-001000,AA00000029612
ID-001000,AA00000029611
ID-001000,AA00000029610
ID-001000,AA00000029609
ID-001000,AA00000029608
ID-001000,AA00000029607
ID-001000,AA00000029606
ID-001000,AA00000029605
ID-001000,AA00000029604
ID-001000,AA00000029603
ID-001000,AA00000029602
ID-001000,AA00000029601
ID-001000,AA00000029600
ID-001000,AA00000029599
ID-001000,AA00000029598
ID-001000,AA00000029597
ID-001000,AA00000029596
ID-001000,AA00000029595
ID-001000,AA00000029594
ID-001074,AA00000029593
ID-001074,AA00000029592
ID-001074,AA00000029591
ID-001074,AA00000029590
ID-001074,AA00000029589
ID-000638,AA00000029588
ID-000638,AA00000029587
ID-000638,AA00000029586
ID-000638,AA00000029585
ID-004828,AA00000029584
ID-004828,AA00000029583
ID-000126,AA00000029582
ID-000126,AA00000029581
ID-000126,AA00000029580
ID-000126,AA00000029579
ID-000126,AA00000029578
ID-000126,AA00000029577
ID-000126,AA00000029576
ID-000126,AA00000029575
ID-000126,AA00000029574
ID-000126,AA00000029573
ID-000126,AA00000029572
ID-000126,AA00000029571
ID-000126,AA00000029570
ID-005555,AA00000029569
ID-005979,AA00000029568
ID-004251,AA00000029567
ID-000854,AA00000029566
ID-000854,AA00000029565
ID-000854,AA00000029564
ID-003115,AA00000029563
ID-003115,AA00000029562
ID-003115,AA00000029561
ID-003115,AA00000029560
ID-003115,AA00000029559
ID-003115,AA00000029558
ID-003115,AA00000029557
ID-003115,AA00000029556
ID-005187,AA00000029555
ID-004435,AA00000029554
ID-004435,AA00000029553
ID-004435,AA00000029552
ID-004435,AA00000029551
ID-004435,AA00000029550
ID-004435,AA00000029549
ID-004435,AA00000029548
ID-001609,AA00000029547
ID-001609,AA00000029546
ID-001677,AA00000029545
ID-001677,AA00000029544
ID-001677,AA00000029543
ID-001677,AA00000029542
ID-003663,AA00000029541
ID-003663,AA00000029540
ID-000704,AA00000029539
ID-000704,AA00000029538
ID-004063,AA00000029537
ID-004063,AA00000029536
ID-004063,AA00000029535
ID-004063,AA00000029534
ID-004063,AA00000029533
ID-004063,AA00000029532
ID-004063,AA00000029531
ID-004167,AA00000029530
ID-004167,AA00000029529
ID-003416,AA00000029528
ID-003416,AA00000029527
ID-002382,AA00000029526
ID-001447,AA00000029525
ID-001447,AA00000029524
ID-005915,AA00000029523
ID-001778,AA00000029522
ID-001778,AA00000029521
ID-005001,AA00000029520
ID-005620,AA00000029519
ID-000920,AA00000029518
ID-000920,AA00000029517
ID-000920,AA00000029516
ID-000920,AA00000029515
ID-000920,AA00000029514
ID-003421,AA00000029513
ID-003421,AA00000029512
ID-001720,AA00000029511
ID-001720,AA00000029510
ID-001720,AA00000029509
ID-001720,AA00000029508
ID-000511,AA00000029507
ID-000511,AA00000029506
ID-000511,AA00000029505
ID-000511,AA00000029504
ID-000511,AA00000029503
ID-000511,AA00000029502
ID-003199,AA00000029501
ID-003199,AA00000029500
ID-003199,AA00000029499
ID-002940,AA00000029498
ID-002940,AA00000029497
ID-002940,AA00000029496
ID-001402,AA00000029495
ID-001402,AA00000029494
ID-001402,AA00000029493
ID-001402,AA00000029492
ID-001402,AA00000029491
ID-005738,AA00000029490
ID-003569,AA00000029489
ID-003569,AA00000029488
ID-003569,AA00000029487
ID-001748,AA00000029486
ID-001748,AA00000029485
ID-001748,AA00000029484
ID-001748,AA00000029483
ID-001748,AA00000029482
ID-001748,AA00000029481
ID-002193,AA00000029480
ID-004385,AA00000029479
ID-004385,AA00000029478
ID-004385,AA00000029477
ID-004385,AA00000029476
ID-004385,AA00000029475
ID-004109,AA00000029474
ID-004109,AA00000029473
ID-004109,AA00000029472
ID-001941,AA00000029471
ID-001941,AA00000029470
